# Header
TRIANGLE_MESH

# Dateiinformationen
36 12 1 f

# Materialien
#  ambient      diffuse        specular    n
# r_a g_a b_a    r_d g_d b_d    r_s g_s b_s   n 
0.15 0.15 0.15   0.8 0.0 0.0    0.8 0.8 0.8   10

# Vertexdaten
0.39 2.52 0.00 0
0.39 2.52 1.42 0
0.39 3.89 1.42 0
0.39 2.52 0.00 0
0.39 3.89 1.42 0
0.39 3.89 0.00 0
0.39 3.89 0.00 0
0.39 3.89 1.42 0
1.68 3.89 1.42 0
0.39 3.89 0.00 0
1.68 3.89 1.42 0
1.68 3.89 0.00 0
1.68 3.89 0.00 0
1.68 3.89 1.42 0
1.68 2.52 1.42 0
1.68 3.89 0.00 0
1.68 2.52 1.42 0
1.68 2.52 0.00 0
1.68 2.52 0.00 0
1.68 2.52 1.42 0
0.39 2.52 1.42 0
1.68 2.52 0.00 0
0.39 2.52 1.42 0
0.39 2.52 0.00 0
0.39 3.89 0.00 0
1.68 3.89 0.00 0
1.68 2.52 0.00 0
0.39 3.89 0.00 0
1.68 2.52 0.00 0
0.39 2.52 0.00 0
1.68 3.89 1.42 0
0.39 3.89 1.42 0
0.39 2.52 1.42 0
1.68 3.89 1.42 0
0.39 2.52 1.42 0
1.68 2.52 1.42 0
# Dreiecke
0 1 2
3 4 5
6 7 8
9 10 11
12 13 14
15 16 17
18 19 20
21 22 23
24 25 26
27 28 29
30 31 32
33 34 35
